"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 17 03:50:07 UTC 2023","Thu Aug 17 03:50:11 UTC 2023","3522","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Aug 17 03:48:54 UTC 2023","Thu Aug 17 03:49:04 UTC 2023","10181","","6. Company Account","","","","2. Create a Company Account",""
"skipped","Thu Aug 17 05:00:46 UTC 2023","Thu Aug 17 05:00:46 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Aug 17 03:50:11 UTC 2023","Thu Aug 17 03:50:12 UTC 2023","640","","6. Company Account","","","","9. Review Final Review",""
"passed","Thu Aug 17 03:46:03 UTC 2023","Thu Aug 17 03:46:03 UTC 2023","741","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"skipped","Thu Aug 17 05:00:46 UTC 2023","Thu Aug 17 05:00:46 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Thu Aug 17 06:34:02 UTC 2023","Thu Aug 17 06:34:02 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Thu Aug 17 05:31:24 UTC 2023","Thu Aug 17 05:31:31 UTC 2023","6746","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Thu Aug 17 04:40:17 UTC 2023","Thu Aug 17 04:40:27 UTC 2023","9627","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"broken","Thu Aug 17 04:18:28 UTC 2023","Thu Aug 17 04:18:28 UTC 2023","1","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"skipped","Thu Aug 17 06:34:02 UTC 2023","Thu Aug 17 06:34:02 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
